2026-06-21 14:30:59.562 | INFO     | __main__:<module>:9 - Step 1/3 — testing OpenRouter LLM connection...
2026-06-21 14:31:02.772 | SUCCESS  | __main__:<module>:11 - LLM responded: OK
2026-06-21 14:31:02.780 | INFO     | __main__:<module>:13 - Step 2/3 — testing local embedder...
2026-06-21 14:31:02.877 | INFO     | config:get_embedder:162 - Loading embedding model: all-MiniLM-L6-v2
2026-06-21 14:31:18.008 | SUCCESS  | __main__:<module>:15 - Embedding generated, length = 384 (expected 384)
2026-06-21 14:31:18.008 | INFO     | __main__:<module>:18 - Step 3/3 — testing Qdrant connection...
2026-06-21 14:43:42.282 | INFO     | __main__:<module>:9 - Step 1/3 — testing OpenRouter LLM connection...
2026-06-21 14:43:48.248 | SUCCESS  | __main__:<module>:11 - LLM responded: OK
2026-06-21 14:43:48.248 | INFO     | __main__:<module>:13 - Step 2/3 — testing local embedder...
2026-06-21 14:43:48.248 | INFO     | config:get_embedder:162 - Loading embedding model: all-MiniLM-L6-v2
2026-06-21 14:43:55.645 | SUCCESS  | __main__:<module>:15 - Embedding generated, length = 384 (expected 384)
2026-06-21 14:43:55.645 | INFO     | __main__:<module>:18 - Step 3/3 — testing Qdrant connection...
2026-06-21 14:58:48.979 | INFO     | __main__:<module>:9 - Step 1/3 — testing OpenRouter LLM connection...
2026-06-21 14:59:00.191 | SUCCESS  | __main__:<module>:11 - LLM responded: OK
2026-06-21 14:59:00.191 | INFO     | __main__:<module>:13 - Step 2/3 — testing local embedder...
2026-06-21 14:59:00.191 | INFO     | config:get_embedder:162 - Loading embedding model: all-MiniLM-L6-v2
2026-06-21 14:59:06.961 | SUCCESS  | __main__:<module>:15 - Embedding generated, length = 384 (expected 384)
2026-06-21 14:59:06.961 | INFO     | __main__:<module>:18 - Step 3/3 — testing Qdrant connection...
2026-06-21 14:59:25.697 | SUCCESS  | __main__:<module>:21 - Qdrant connected. Existing collections: [CollectionDescription(name='clinical_docs')]
2026-06-21 14:59:25.698 | SUCCESS  | __main__:<module>:23 - All systems go. Ready for Step 2 (data ingestion).
2026-06-21 15:04:47.837 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'what is the recommended first-line treatment for hypertension?' (top_k=20)
2026-06-21 15:04:51.812 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'what is the recommended first-line treatment for hypertension?': The initial pharmacologic management of essential hypertension typically begins with a single-agent regimen chosen from ...
2026-06-21 15:04:51.812 | INFO     | config:get_embedder:162 - Loading embedding model: all-MiniLM-L6-v2
2026-06-21 15:05:24.855 | INFO     | retrieval.hybrid_retrieval:_build:74 - Building in-memory BM25 index over 2202 chunks...
2026-06-21 15:05:47.615 | SUCCESS  | retrieval.hybrid_retrieval:_build:92 - BM25 index ready (2202 docs).
2026-06-21 15:05:47.646 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 20 docs (dense_hits=20, sparse_hits=20, union=40). HyDE passage used: 'The initial pharmacologic management of essential hypertension typically begins ...'
2026-06-21 15:05:47.647 | INFO     | retrieval.reranker:get_reranker:37 - Loading cross-encoder reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-06-21 15:07:17.303 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-5 order.
  Before (RRF order):     ['hypertension.pdf p.0', 'tb.pdf p.14', 'tb.pdf p.34', 'hypertension.pdf p.2', 'hypertension.pdf p.9']
  After (cross-encoder):  ['hypertension.pdf p.12', 'hypertension.pdf p.9', 'hypertension.pdf p.8', 'hypertension.pdf p.40', 'hypertension.pdf p.9']
2026-06-21 15:07:20.947 | DEBUG    | rag_pipeline.self_rag:grade_relevance:117 - Relevance check [hypertension.pdf p.12]: relevant — The passage discusses beta‑blockers as a first‑line agent for hypertension.
2026-06-21 15:07:27.627 | WARNING  | rag_pipeline.self_rag:_parse_json_response:100 - Failed to parse expected JSON from LLM, using fallback. Raw: 'User Safety: unsafe\nSafety Categories: Unauthorized Advice'
2026-06-21 15:07:27.845 | DEBUG    | rag_pipeline.self_rag:grade_relevance:117 - Relevance check [hypertension.pdf p.9]: irrelevant — unparseable LLM response
2026-06-21 15:07:35.294 | DEBUG    | rag_pipeline.self_rag:grade_relevance:117 - Relevance check [hypertension.pdf p.8]: relevant — Discusses hypertension treatment guidelines and thresholds for pharmacologic therapy.
2026-06-21 15:07:48.855 | DEBUG    | rag_pipeline.self_rag:grade_relevance:117 - Relevance check [hypertension.pdf p.40]: relevant — The passage directly addresses the recommended first-line treatment for hypertension.
2026-06-21 15:08:01.084 | DEBUG    | rag_pipeline.self_rag:grade_relevance:117 - Relevance check [hypertension.pdf p.9]: irrelevant — The passage lists antihypertensive classes but does not specify a first‑line treatment.
2026-06-21 15:08:01.084 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:169 - Relevance filtering: 3/5 chunks kept for query 'what is the recommended first-line treatment for hypertension?'
2026-06-21 15:08:21.961 | INFO     | rag_pipeline.self_rag:check_support:152 - Support check: partially_supported — The answer correctly states CCB is first-line but omits the critical condition that this applies specifically to monotherapy, not all treatment scenarios.
